Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,8399,14824,23223
February 28 2017,8613,15308,23921
March 31 2017,8834,15714,24548
April 30 2017,9016,16235,25251
May 31 2017,9237,16715,25952
June 30 2017,9447,17139,26586
July 31 2017,9635,17545,27180
August 31 2017,9861,17844,27705
September 30 2017,10085,18239,28324
October 31 2017,10360,18686,29046
November 30 2017,10594,19035,29629
December 31 2017,10824,19335,30159
January 31 2018,11244,19866,31110
February 28 2018,11540,20100,31640
March 31 2018,11869,20527,32396
April 30 2018,12211,21056,33267
May 31 2018,12633,21831,34464
June 30 2018,13017,22555,35572
July 31 2018,13312,23090,36402
August 31 2018,13622,23646,37268
September 30 2018,13958,24248,38206
October 31 2018,14314,25610,39924
November 30 2018,14694,26889,41583
December 31 2018,15026,27837,42863
January 31 2019,15408,29230,44638
February 28 2019,15585,29794,45379
March 31 2019,15738,30132,45870
April 30 2019,15999,31165,47164
May 31 2019,16276,31854,48130
June 30 2019,16516,32676,49192
July 31 2019,16796,33646,50442
August 31 2019,17014,34405,51419
September 30 2019,17241,35199,52440
October 31 2019,17527,36799,54326
November 30 2019,17721,37254,54975
December 31 2019,17884,37908,55792
January 31 2020,18091,39936,58027
February 29 2020,18188,40400,58588
March 31 2020,18278,41129,59407
April 30 2020,18196,41461,59657
May 31 2020,18167,41416,59583
June 30 2020,18212,41652,59864
July 31 2020,18289,43017,61306
August 31 2020,18349,43549,61898
September 30 2020,18440,43950,62390
October 31 2020,18552,44813,63365
November 30 2020,18528,45955,64483
December 31 2020,18451,46008,64459
